Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Finland,61.92411,25.748151,1,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,2018
Norway,60.472024,8.468946,2,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,2018
Denmark,56.26392,9.501785,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,2018
Iceland,64.96305100000001,-19.020835,4,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,2018
Switzerland,46.818188,8.227511999999999,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,2018
Netherlands,52.132633,5.291266,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,2018
Canada,56.130366,-106.34677099999999,7,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,2018
New Zealand,-40.900557,174.88597099999998,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,2018
Sweden,60.128161,18.643501,9,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,2018
Australia,-25.274398,133.775136,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,2018
United Kingdom,55.378051,-3.435973,11,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,2018
Austria,47.516231,14.550072,12,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,2018
Costa Rica,9.748917,-83.753428,13,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,2018
Ireland,53.41291,-8.243889999999999,14,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,2018
Germany,51.165690999999995,10.451526,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
Belgium,50.503887,4.469936,16,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,2018
Luxembourg,49.815273,6.129583,17,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,2018
United States,37.09024,-95.712891,18,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133,2018
Israel,31.046051000000002,34.851612,19,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,2018
Czech Republic,49.817492,15.472961999999999,21,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,2018
Malta,35.937496,14.375416,22,6.627000000000001,1.27,1.525,0.884,0.645,0.376,0.142,2018
France,46.227638,2.213749,23,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,2018
Mexico,23.634501,-102.552784,24,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,0.095,2018
Chile,-35.675146999999996,-71.542969,25,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,2018
Taiwan,23.69781,120.96051499999999,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
Panama,8.537981,-80.782127,27,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,0.063,2018
Brazil,-14.235004,-51.92528,28,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000001,2018
Argentina,-38.416097,-63.616671999999994,29,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,2018
Guatemala,15.783470999999999,-90.23075899999999,30,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.179,0.071,2018
Uruguay,-32.522779,-55.765834999999996,31,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,0.155,2018
Qatar,25.354826,51.183884,32,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,0.171,2018
Saudi Arabia,23.885942,45.079162,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018
Singapore,1.352083,103.819836,34,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,0.457,2018
