Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Switzerland,46.818188,8.227511999999999,1,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.29678000000000004,0.41978000000000004,2015
Iceland,64.96305100000001,-19.020835,2,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.4363,0.14145,2015
Denmark,56.26392,9.501785,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,2015
Norway,60.472024,8.468946,4,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015
Canada,56.130366,-106.34677099999999,5,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.45811,0.32957,2015
Finland,61.92411,25.748151,6,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.23351,0.41372,2015
Netherlands,52.132633,5.291266,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.4761,0.31814000000000003,2015
Sweden,60.128161,18.643501,8,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.36262,0.43843999999999994,2015
New Zealand,-40.900557,174.88597099999998,9,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.47501000000000004,0.42922,2015
Australia,-25.274398,133.775136,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35636999999999996,2015
Israel,31.046051000000002,34.851612,11,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.33171999999999996,0.07785,2015
Costa Rica,9.748917,-83.753428,12,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.25497,0.10583,2015
Austria,47.516231,14.550072,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.33088,0.18675999999999998,2015
Mexico,23.634501,-102.552784,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.14074,0.21311999999999998,2015
United States,37.09024,-95.712891,15,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.40105,0.1589,2015
Brazil,-14.235004,-51.92528,16,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.14574,0.17521,2015
Luxembourg,49.815273,6.129583,17,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.28034000000000003,0.37798000000000004,2015
Ireland,53.41291,-8.243889999999999,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.45901000000000003,0.28703,2015
Belgium,50.503887,4.469936,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2225,0.2254,2015
United Arab Emirates,23.424076,53.847818000000004,20,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2015
United Kingdom,55.378051,-3.435973,21,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.51912,0.32066999999999996,2015
Oman,21.512583,55.923255000000005,22,6.853,1.36011,1.08182,0.76276,0.63274,0.21541999999999997,0.32524000000000003,2015
Venezuela,6.42375,-66.58973,23,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.058410000000000004,0.11069000000000001,2015
Singapore,1.352083,103.819836,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,2015
Panama,8.537981,-80.782127,25,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.24434,0.0927,2015
Germany,51.165690999999995,10.451526,26,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.28214,0.21843,2015
Chile,-35.675146999999996,-71.542969,27,6.67,1.10715,1.12447,0.85857,0.44132,0.33363000000000004,0.12869,2015
Qatar,25.354826,51.183884,28,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,2015
France,46.227638,2.213749,29,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.12332,0.20646,2015
Argentina,-38.416097,-63.616671999999994,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11450999999999999,0.08484,2015
Czech Republic,49.817492,15.472961999999999,31,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.10686,0.02652,2015
Uruguay,-32.522779,-55.765834999999996,32,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.2324,0.24558000000000002,2015
Colombia,4.570868,-74.297333,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.18400999999999998,0.0512,2015
Thailand,15.870032,100.992541,34,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.5763,0.031869999999999996,2015
Saudi Arabia,23.885942,45.079162,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.13706,0.32524000000000003,2015
